patientid,firstname,lastname,middlename,ssn,phonenumber,gender,dateofbirth,address,modifieddate,source_hospital,unified_patient_id,insurance,email,email_valid,data_quality_flag,age,year,month,quarter,dayofweek
HOSP1-000579,Nicole,Butler,L,154-11-8486,13676151319,Male,1937-07-30,"76605 Clarke Corners Suite 758, Shannonview, MH 31595",2024-08-11,hospital_a,A-HOSP1-000579,,,False,Invalid Email,88,2024,8,3,Sunday
HOSP1-000580,Angela,Nelson,U,315-57-7758,12195667337006,Male,1958-07-15,"99238 Daniel Squares, Lucasview, TX 67148",2023-06-06,hospital_a,A-HOSP1-000580,,,False,Invalid Email,67,2023,6,2,Tuesday
HOSP1-000581,Brandon,Brown,W,112-28-9040,6979472774,Female,1932-07-16,"Unit 8288 Box 1513, DPO AA 36578",2022-06-23,hospital_a,A-HOSP1-000581,,,False,Invalid Email,93,2022,6,2,Thursday
HOSP1-000582,Brian,Wade,O,685-30-2827,3799882414,Male,1972-09-19,"523 Shane Landing, Port Stephen, KS 70808",2020-12-26,hospital_a,A-HOSP1-000582,,,False,Invalid Email,52,2020,12,4,Saturday
HOSP1-000583,Juan,Banks,L,246-94-0019,508538511028419,Female,2004-10-03,"8942 Padilla Harbor, Michaelberg, VT 01334",2024-07-07,hospital_a,A-HOSP1-000583,,,False,Invalid Email,20,2024,7,3,Sunday
HOSP1-000584,James,Henderson,F,673-08-1293,0016227999820,Male,2013-02-28,"12697 Eric Glen Suite 688, East Kelly, ND 87425",2022-06-19,hospital_a,A-HOSP1-000584,,,False,Invalid Email,12,2022,6,2,Sunday
HOSP1-000585,Gregory,Edwards,Y,075-50-1058,44391132360142,Female,1935-07-28,"013 Nolan Springs, Whitneyshire, OK 51242",2022-02-24,hospital_a,A-HOSP1-000585,,,False,Invalid Email,90,2022,2,1,Thursday
HOSP1-000586,Carrie,Hughes,A,009-49-3639,488906755315161,Female,1962-09-24,"70401 Steven Field Apt. 639, New Williamside, MS 99304",2022-01-11,hospital_a,A-HOSP1-000586,,,False,Invalid Email,62,2022,1,1,Tuesday
HOSP1-000587,Kathryn,Wagner,D,413-19-5568,775618000554064,Female,1933-10-19,"USCGC Meadows, FPO AA 23273",2022-02-26,hospital_a,A-HOSP1-000587,,,False,Invalid Email,91,2022,2,1,Saturday
HOSP1-000588,Zachary,Copeland,S,869-96-4391,1936352605483791,Female,1948-03-15,"03058 Nguyen Cliffs, East Scottstad, AS 44714",2022-03-13,hospital_a,A-HOSP1-000588,,,False,Invalid Email,77,2022,3,1,Sunday
HOSP1-000589,Kenneth,Cisneros,V,405-06-3383,001267201972598238,Female,2013-07-24,"646 Tammy Forges, West Daisyborough, OK 02139",2020-03-27,hospital_a,A-HOSP1-000589,,,False,Invalid Email,12,2020,3,1,Friday
HOSP1-000590,Diana,Aguilar,J,703-07-3109,916893729887782,Female,1976-05-21,"55278 Curtis Throughway, East Whitneyland, DC 20545",2024-01-12,hospital_a,A-HOSP1-000590,,,False,Invalid Email,49,2024,1,1,Friday
HOSP1-000591,Catherine,Rose,J,714-37-5929,00186984562262904,Female,1971-09-23,"PSC 6810, Box 7142, APO AA 55118",2021-11-12,hospital_a,A-HOSP1-000591,,,False,Invalid Email,53,2021,11,4,Friday
HOSP1-000592,Patrick,Dorsey,F,167-88-4021,9226907181,Male,1986-04-23,"47723 Ware Inlet Suite 516, North Kimberlyburgh, MA 56194",2020-10-16,hospital_a,A-HOSP1-000592,,,False,Invalid Email,39,2020,10,4,Friday
HOSP1-000593,Meghan,Jones,G,541-81-5977,6208013217,Female,1941-07-26,"4313 Cohen Skyway, Danielfort, VT 19772",2024-01-12,hospital_a,A-HOSP1-000593,,,False,Invalid Email,84,2024,1,1,Friday
HOSP1-000594,Michael,Frazier,U,248-52-9568,310509212443345,Male,1995-07-05,"8583 Vanessa Motorway Suite 728, Nicholasville, AL 40786",2024-05-12,hospital_a,A-HOSP1-000594,,,False,Invalid Email,30,2024,5,2,Sunday
HOSP1-000595,Kristopher,Mendez,K,213-75-8802,6282838498,Female,1932-12-18,"Unit 2819 Box 7389, DPO AE 45024",2023-10-30,hospital_a,A-HOSP1-000595,,,False,Invalid Email,92,2023,10,4,Monday
HOSP1-000596,Yolanda,Gill,I,182-31-7322,17417076169918,Female,1936-04-16,"6761 Williamson Lake, Zacharytown, TN 26774",2021-09-21,hospital_a,A-HOSP1-000596,,,False,Invalid Email,89,2021,9,3,Tuesday
HOSP1-000597,Allison,Goodwin,V,658-09-0994,5296602387,Male,1967-08-05,"538 Tyler Mountain, South Danielleland, MH 32114",2020-06-16,hospital_a,A-HOSP1-000597,,,False,Invalid Email,58,2020,6,2,Tuesday
HOSP1-000598,Rose,Simon,U,115-65-0039,143322003804777,Male,1957-08-31,"17582 Miller Prairie Suite 924, Reneechester, IN 20766",2023-01-17,hospital_a,A-HOSP1-000598,,,False,Invalid Email,67,2023,1,1,Tuesday
HOSP1-000599,Taylor,Burns,O,292-48-1755,7538770043,Male,1936-03-23,"PSC 9691, Box 6393, APO AA 85560",2021-02-25,hospital_a,A-HOSP1-000599,,,False,Invalid Email,89,2021,2,1,Thursday
HOSP1-000600,Bethany,Gomez,V,807-14-3008,001272947963477430,Male,2009-09-04,"9566 Wells Shores Suite 223, South Keith, LA 40754",2023-10-14,hospital_a,A-HOSP1-000600,,,False,Invalid Email,15,2023,10,4,Saturday
HOSP1-000601,Amber,Edwards,R,859-42-5531,9586011059,Female,2000-02-10,"82695 Williams Stream, Nguyenberg, MN 44105",2022-05-16,hospital_a,A-HOSP1-000601,,,False,Invalid Email,25,2022,5,2,Monday
HOSP1-000602,Joan,Bean,I,455-15-2369,4838238054312,Female,1971-03-21,"158 Nicole Pike Apt. 088, Parkfurt, ME 15963",2023-04-03,hospital_a,A-HOSP1-000602,,,False,Invalid Email,54,2023,4,2,Monday
HOSP1-000603,Lisa,Craig,A,568-55-9540,00190694645951420,Female,1953-08-30,"7695 Hensley Alley, Deannaville, CO 98972",2023-01-31,hospital_a,A-HOSP1-000603,,,False,Invalid Email,71,2023,1,1,Tuesday
HOSP1-000604,Taylor,Garcia,A,893-73-1372,34163288425242,Female,1970-09-20,"605 Mendoza Mall, Huffmanfurt, CA 26027",2023-06-16,hospital_a,A-HOSP1-000604,,,False,Invalid Email,54,2023,6,2,Friday
HOSP1-000605,Steven,Ferguson,N,495-75-3455,0015949630206930,Female,1927-12-16,"4898 Rodriguez Course Apt. 085, West John, OH 51997",2021-04-19,hospital_a,A-HOSP1-000605,,,False,Invalid Email,97,2021,4,2,Monday
HOSP1-000606,Robert,Barron,W,707-33-2375,00140035738172095,Male,1941-11-13,"3196 Anthony Crossroad Apt. 109, West Tracie, ID 43645",2020-08-20,hospital_a,A-HOSP1-000606,,,False,Invalid Email,83,2020,8,3,Thursday
HOSP1-000607,Bobby,Brady,M,686-14-3862,6165395333,Male,1958-12-14,"84873 Dale Rapids Suite 987, Kennethfurt, AL 72092",2021-01-19,hospital_a,A-HOSP1-000607,,,False,Invalid Email,66,2021,1,1,Tuesday
HOSP1-000608,Reginald,Hancock,H,451-06-9136,0017793551617183,Male,1974-12-04,"6165 Vincent Estates Apt. 761, South Belindafurt, OK 39459",2021-11-28,hospital_a,A-HOSP1-000608,,,False,Invalid Email,50,2021,11,4,Sunday
HOSP1-000609,Taylor,Bailey,E,083-38-7911,00192587270453005,Female,1964-04-23,"1678 Lopez Village, West Allen, GU 47822",2021-03-01,hospital_a,A-HOSP1-000609,,,False,Invalid Email,61,2021,3,1,Monday
HOSP1-000610,Maria,Luna,T,157-05-4873,5589066557,Male,2001-10-31,"305 Johnson Loop, Clementsberg, VI 67504",2020-08-18,hospital_a,A-HOSP1-000610,,,False,Invalid Email,23,2020,8,3,Tuesday
HOSP1-000611,Sara,Robinson,N,850-63-7395,4812283401,Male,1938-12-27,"5182 Rodriguez Corners Suite 284, Lopezburgh, DE 38145",2021-05-05,hospital_a,A-HOSP1-000611,,,False,Invalid Email,86,2021,5,2,Wednesday
HOSP1-000612,Michael,Lopez,E,842-94-8765,20388344947502,Female,1948-09-20,"6360 Beth Island, South Jenna, NE 52081",2024-07-26,hospital_a,A-HOSP1-000612,,,False,Invalid Email,76,2024,7,3,Friday
HOSP1-000613,Michelle,Hernandez,Y,817-23-3216,16079403066,Female,1997-04-01,"83152 Brian Squares Apt. 886, North Richard, OH 90417",2023-09-05,hospital_a,A-HOSP1-000613,,,False,Invalid Email,28,2023,9,3,Tuesday
HOSP1-000614,Victoria,Reyes,U,543-95-9034,425909108383222,Male,1927-01-02,"576 Ann Forest, North Justin, ND 84252",2022-02-14,hospital_a,A-HOSP1-000614,,,False,Invalid Email,98,2022,2,1,Monday
HOSP1-000615,Kylie,Bean,I,179-99-7695,5089273278,Male,1974-09-08,"2781 Desiree Wells Apt. 081, Ryanstad, VA 10043",2024-08-11,hospital_a,A-HOSP1-000615,,,False,Invalid Email,50,2024,8,3,Sunday
HOSP1-000616,Sarah,Webb,S,064-21-6277,6325053901,Female,1978-03-16,"723 Ward Wells Apt. 046, New Paulmouth, FL 09003",2023-10-11,hospital_a,A-HOSP1-000616,,,False,Invalid Email,47,2023,10,4,Wednesday
HOSP1-000617,Shawna,Baker,Q,445-96-4351,92278137746122,Female,1981-09-21,"81913 Colleen Junction, New Nataliefort, OK 84396",2022-10-13,hospital_a,A-HOSP1-000617,,,False,Invalid Email,43,2022,10,4,Thursday
HOSP1-000618,Joe,Greene,L,345-87-4709,0015282068716,Male,2002-11-05,"87828 Stephens Union, New Chadport, FM 34587",2021-02-08,hospital_a,A-HOSP1-000618,,,False,Invalid Email,22,2021,2,1,Monday
HOSP1-000619,Rebecca,Lopez,W,432-78-6195,7627591326,Male,1979-11-22,"97892 Newton Forges, Port Timothyport, VA 89729",2021-12-18,hospital_a,A-HOSP1-000619,,,False,Invalid Email,45,2021,12,4,Saturday
HOSP1-000620,Jill,Johnson,L,373-39-3110,3526088477,Female,1995-08-18,"91512 Deanna Road, Palmermouth, TN 64138",2023-08-02,hospital_a,A-HOSP1-000620,,,False,Invalid Email,29,2023,8,3,Wednesday
HOSP1-000621,Gregory,Blanchard,I,825-74-0820,5183466152,Female,1963-08-19,"6979 Nathan Points, South Deannaberg, CA 03809",2022-04-30,hospital_a,A-HOSP1-000621,,,False,Invalid Email,61,2022,4,2,Saturday
HOSP1-000622,Jessica,Miller,Z,456-52-4691,5836915087,Male,1949-10-10,"3289 Jason Burgs, North Julian, VA 09435",2023-02-01,hospital_a,A-HOSP1-000622,,,False,Invalid Email,75,2023,2,1,Wednesday
HOSP1-000623,Valerie,Phillips,F,475-73-5563,9568127404,Male,1960-12-17,"3226 Fry Wall, Lake James, PA 93467",2020-06-23,hospital_a,A-HOSP1-000623,,,False,Invalid Email,64,2020,6,2,Tuesday
HOSP1-000624,Zachary,Thomas,Z,072-67-4825,00172062911381599,Female,1949-01-09,"85483 Carrie Parkway Suite 522, Moralesport, CT 40885",2022-12-21,hospital_a,A-HOSP1-000624,,,False,Invalid Email,76,2022,12,4,Wednesday
HOSP1-000625,Pam,Warren,D,104-02-4732,17482042196,Male,1998-06-09,"1166 Sarah Port Apt. 366, Lake Kevinmouth, MA 83763",2023-04-09,hospital_a,A-HOSP1-000625,,,False,Invalid Email,27,2023,4,2,Sunday
HOSP1-000626,Scott,Wilson,L,683-97-7317,793762018854910,Male,2020-03-04,"71515 John Glen Apt. 815, West Charles, ME 16129",2021-05-16,hospital_a,A-HOSP1-000626,,,False,Invalid Email,5,2021,5,2,Sunday
HOSP1-000627,Keith,Stanton,G,349-31-0913,8357123720,Female,1957-06-24,"4449 David Oval Suite 666, Gabrielamouth, FM 09007",2021-04-11,hospital_a,A-HOSP1-000627,,,False,Invalid Email,68,2021,4,2,Sunday
HOSP1-000628,Adam,Lynch,B,781-01-1713,00158386181300963,Female,1925-01-21,"808 Roberts Vista, New Oliviaton, MN 01461",2023-05-16,hospital_a,A-HOSP1-000628,,,False,Invalid Email,100,2023,5,2,Tuesday
HOSP1-000629,Julie,Bowman,M,028-67-6133,610528477867619,Male,1959-12-19,"3832 Rhodes Parkway Suite 168, North Kyle, MS 32417",2021-05-29,hospital_a,A-HOSP1-000629,,,False,Invalid Email,65,2021,5,2,Saturday
HOSP1-000630,Rachel,Malone,T,323-63-4984,7433315965,Male,1993-03-30,"98389 Hernandez Dam, Christinaville, IL 25199",2024-06-21,hospital_a,A-HOSP1-000630,,,False,Invalid Email,32,2024,6,2,Friday
HOSP1-000631,Steven,Martinez,T,242-54-4859,9684725817,Female,1986-05-05,"PSC 0225, Box 3313, APO AE 06605",2024-07-22,hospital_a,A-HOSP1-000631,,,False,Invalid Email,39,2024,7,3,Monday
HOSP1-000632,Dalton,Day,S,422-05-5426,00199565579933052,Female,1993-08-13,"3251 Miller Hollow, Michaelhaven, MP 24650",2023-06-12,hospital_a,A-HOSP1-000632,,,False,Invalid Email,31,2023,6,2,Monday
HOSP1-000633,Vincent,Barnett,Z,423-57-0753,2275523346936,Male,1939-11-14,"3462 Williams Villages, Stephenmouth, OH 03169",2023-04-10,hospital_a,A-HOSP1-000633,,,False,Invalid Email,85,2023,4,2,Monday
HOSP1-000634,John,Thomas,R,280-78-8768,9754317085,Female,2001-04-01,"288 Boyer Prairie Suite 627, Graychester, OH 16632",2020-09-04,hospital_a,A-HOSP1-000634,,,False,Invalid Email,24,2020,9,3,Friday
HOSP1-000635,Michael,Reynolds,L,234-89-2071,1485895797869570,Male,2023-12-31,"4397 Morris Meadow Apt. 078, Clarkeborough, NV 64261",2022-02-13,hospital_a,A-HOSP1-000635,,,False,Invalid Email,1,2022,2,1,Sunday
HOSP1-000636,Jordan,Franklin,S,805-67-1104,4057498240,Female,1974-05-25,"13685 Koch Union Suite 262, Lyonsfurt, VA 11665",2023-08-29,hospital_a,A-HOSP1-000636,,,False,Invalid Email,51,2023,8,3,Tuesday
HOSP1-000637,Matthew,Rivera,I,583-11-3244,963640262985168,Male,1957-10-26,"0738 Jeremy Track, Kellyview, ME 00684",2022-07-15,hospital_a,A-HOSP1-000637,,,False,Invalid Email,67,2022,7,3,Friday
HOSP1-000638,Emma,Murphy,K,703-19-7017,6279920340,Male,1967-12-20,"07105 Gutierrez Viaduct, Tylerside, KS 40692",2023-12-17,hospital_a,A-HOSP1-000638,,,False,Invalid Email,57,2023,12,4,Sunday
HOSP1-000639,Susan,Evans,Z,080-41-1711,2329285427856,Female,1997-01-15,"167 Santos Fork, Hansenview, NY 05019",2022-12-15,hospital_a,A-HOSP1-000639,,,False,Invalid Email,28,2022,12,4,Thursday
HOSP1-000640,Krista,Lucero,Q,263-91-9735,64785472174635,Female,2003-01-09,"4137 Debbie Parks Suite 767, Wellsport, AL 28405",2020-12-23,hospital_a,A-HOSP1-000640,,,False,Invalid Email,22,2020,12,4,Wednesday
HOSP1-000641,Gregory,Rowe,K,762-42-2503,164522126445177,Male,2003-11-23,"44933 Mccarthy Cliffs, Natalieville, CO 71185",2022-12-11,hospital_a,A-HOSP1-000641,,,False,Invalid Email,21,2022,12,4,Sunday
HOSP1-000642,Eric,Novak,J,215-40-2525,6859813791,Female,2002-02-22,"25933 Adams Summit, South Charlotte, PR 58049",2023-07-08,hospital_a,A-HOSP1-000642,,,False,Invalid Email,23,2023,7,3,Saturday
HOSP1-000643,Pamela,Martin,M,298-05-2500,001601417433691627,Female,1980-06-28,"936 Christensen Lock Suite 812, Sotoview, NC 16908",2024-06-05,hospital_a,A-HOSP1-000643,,,False,Invalid Email,45,2024,6,2,Wednesday
HOSP1-000644,Tamara,Martinez,O,583-34-7949,6519418421326,Female,1985-12-11,"911 Michael Court Suite 685, Port Laurenhaven, FL 66555",2021-12-12,hospital_a,A-HOSP1-000644,,,False,Invalid Email,39,2021,12,4,Sunday
HOSP1-000645,Steven,Hunter,H,111-39-7416,9315788179,Male,2007-09-05,"7348 Strong Islands, South Annette, KY 48462",2022-05-31,hospital_a,A-HOSP1-000645,,,False,Invalid Email,17,2022,5,2,Tuesday
HOSP1-000646,Mary,Clark,I,638-50-1002,13365610061957,Female,1995-02-25,"716 Allen Forge, East Jessicafort, ME 04204",2023-04-08,hospital_a,A-HOSP1-000646,,,False,Invalid Email,30,2023,4,2,Saturday
HOSP1-000647,Arthur,Rice,Y,699-08-2428,8345041894109,Female,2015-04-28,"58659 Ricardo Fields, Mcdonaldmouth, VT 71180",2021-11-01,hospital_a,A-HOSP1-000647,,,False,Invalid Email,10,2021,11,4,Monday
HOSP1-000648,Alicia,Craig,V,754-79-2882,6418375678252,Male,1958-09-09,"74428 Michael Village Apt. 046, Davidmouth, AZ 96182",2023-08-03,hospital_a,A-HOSP1-000648,,,False,Invalid Email,66,2023,8,3,Thursday
HOSP1-000649,Joshua,Murphy,H,484-71-0214,735688863802465,Male,1948-01-01,"60606 Mark Hill Suite 962, Higginsstad, AR 29532",2024-03-16,hospital_a,A-HOSP1-000649,,,False,Invalid Email,77,2024,3,1,Saturday
HOSP1-000650,Ashley,Jones,Y,812-49-7579,0016234484246,Male,1954-04-09,"34959 Davidson Extensions Apt. 981, East Susan, DC 54016",2021-10-15,hospital_a,A-HOSP1-000650,,,False,Invalid Email,71,2021,10,4,Friday
HOSP1-000651,Wendy,Francis,O,345-58-4674,8113606858207,Female,2009-08-29,"98790 Burke Ports Apt. 203, Jennifershire, VI 83735",2022-12-24,hospital_a,A-HOSP1-000651,,,False,Invalid Email,15,2022,12,4,Saturday
HOSP1-000652,Michael,Sawyer,A,177-87-0109,001502868602944222,Male,1943-03-03,"81835 Davis Key Apt. 011, Christinaton, MT 09485",2020-03-30,hospital_a,A-HOSP1-000652,,,False,Invalid Email,82,2020,3,1,Monday
HOSP1-000653,John,Holder,A,893-63-2619,6109796917,Female,1976-10-30,"0058 Brown Radial Apt. 286, Thompsonshire, OR 50849",2023-12-21,hospital_a,A-HOSP1-000653,,,False,Invalid Email,48,2023,12,4,Thursday
HOSP1-000654,Faith,Camacho,N,551-12-5847,18439981619209,Male,1940-11-01,"59122 Christina Motorway Apt. 995, East Jennifer, CA 13542",2021-06-06,hospital_a,A-HOSP1-000654,,,False,Invalid Email,84,2021,6,2,Sunday
HOSP1-000655,Laurie,Leblanc,E,464-72-4141,001863805579467684,Male,1961-02-05,"61479 Christine Port Apt. 463, New Shannonstad, VT 59632",2022-06-29,hospital_a,A-HOSP1-000655,,,False,Invalid Email,64,2022,6,2,Wednesday
HOSP1-000656,David,Cabrera,O,859-52-6136,902428495118149,Female,2003-09-18,"6075 Robert Roads, Bankshaven, ID 19432",2024-04-05,hospital_a,A-HOSP1-000656,,,False,Invalid Email,21,2024,4,2,Friday
HOSP1-000657,Donna,Lewis,Y,113-64-0693,80959279501554,Male,1973-11-08,"28240 Justin Ranch Suite 783, Jasonburgh, OH 34616",2024-04-22,hospital_a,A-HOSP1-000657,,,False,Invalid Email,51,2024,4,2,Monday
HOSP1-000658,Richard,Williams,Q,032-30-0508,13959305663439,Female,1980-12-18,"Unit 8364 Box 3443, DPO AP 01755",2021-05-29,hospital_a,A-HOSP1-000658,,,False,Invalid Email,44,2021,5,2,Saturday
HOSP1-000659,Tanya,Lee,W,838-16-9432,503323922116003,Male,2014-07-28,"Unit 6593 Box 8220, DPO AE 32456",2020-12-08,hospital_a,A-HOSP1-000659,,,False,Invalid Email,11,2020,12,4,Tuesday
HOSP1-000660,Jillian,Gonzalez,U,394-49-3649,42185358035747,Female,1937-02-24,"90860 Crawford Club Apt. 518, South Gabrielmouth, IL 26365",2024-08-27,hospital_a,A-HOSP1-000660,,,False,Invalid Email,88,2024,8,3,Tuesday
HOSP1-000661,Jaime,Mckenzie,X,690-80-0347,8859098042,Female,2002-04-17,"405 Strickland Vista, East Williamton, NJ 93876",2022-09-12,hospital_a,A-HOSP1-000661,,,False,Invalid Email,23,2022,9,3,Monday
HOSP1-000662,Colleen,Poole,U,009-91-5493,129389196040573,Female,1957-11-01,"5576 Leonard Isle Suite 412, Sarahton, AK 04523",2023-12-31,hospital_a,A-HOSP1-000662,,,False,Invalid Email,67,2023,12,4,Sunday
HOSP1-000663,Jessica,Mcdonald,O,728-29-8380,57129202544048,Male,1927-04-08,"19725 Sheila Islands Apt. 658, Sarahburgh, AK 46072",2020-01-11,hospital_a,A-HOSP1-000663,,,False,Invalid Email,98,2020,1,1,Saturday
HOSP1-000664,Shelby,Rodriguez,N,398-53-8339,581563683699776,Female,1989-12-23,"0137 Bobby Via Suite 241, North Renee, PR 82415",2020-09-18,hospital_a,A-HOSP1-000664,,,False,Invalid Email,35,2020,9,3,Friday
HOSP1-000665,Edward,Joseph,I,147-03-9753,6808765878273,Male,2005-07-08,"352 Bethany Grove, Amyview, PA 31386",2021-10-31,hospital_a,A-HOSP1-000665,,,False,Invalid Email,20,2021,10,4,Sunday
HOSP1-000666,Robert,Harmon,R,411-66-3383,15626911275,Male,1988-03-29,"PSC 1192, Box 1373, APO AE 47683",2021-09-30,hospital_a,A-HOSP1-000666,,,False,Invalid Email,37,2021,9,3,Thursday
HOSP1-000667,Peter,Gaines,R,470-03-8658,2484969997423,Female,1992-05-16,"USNS Carroll, FPO AA 70083",2020-12-26,hospital_a,A-HOSP1-000667,,,False,Invalid Email,33,2020,12,4,Saturday
HOSP1-000668,Tiffany,Bauer,J,582-39-4536,0016586193662,Male,1970-01-21,"5497 Compton Walks, South Markview, UT 41821",2022-01-12,hospital_a,A-HOSP1-000668,,,False,Invalid Email,55,2022,1,1,Wednesday
HOSP1-000669,Tina,Daniel,U,115-69-4690,82495954998118,Female,1995-01-25,"USCGC Harris, FPO AP 91039",2023-11-21,hospital_a,A-HOSP1-000669,,,False,Invalid Email,30,2023,11,4,Tuesday
HOSP1-000670,Calvin,Scott,Z,351-28-9132,0014646637375453,Male,1982-08-30,"131 Weeks Forges, Amandamouth, PA 17486",2023-07-19,hospital_a,A-HOSP1-000670,,,False,Invalid Email,42,2023,7,3,Wednesday
HOSP1-000671,Michael,Bolton,P,500-17-2190,17493093968326,Male,1994-07-30,"36440 Cohen Estate, Bentleyfort, IL 18810",2022-01-23,hospital_a,A-HOSP1-000671,,,False,Invalid Email,31,2022,1,1,Sunday
HOSP1-000672,Ryan,Howell,F,651-15-3769,001633267597524007,Female,1970-02-07,"14059 Dawn Spur Apt. 611, Garzaberg, MN 76707",2023-07-28,hospital_a,A-HOSP1-000672,,,False,Invalid Email,55,2023,7,3,Friday
HOSP1-000673,Ryan,Chandler,J,560-57-7905,7104262278158,Male,2013-03-26,"984 Matthew Shore Suite 331, Jacobport, AR 91699",2024-07-17,hospital_a,A-HOSP1-000673,,,False,Invalid Email,12,2024,7,3,Wednesday
HOSP1-000674,Nathan,Estrada,I,329-74-4488,2053159983,Male,1950-08-31,"2209 Jones Port, New Jefferyhaven, TX 45129",2024-09-09,hospital_a,A-HOSP1-000674,,,False,Invalid Email,74,2024,9,3,Monday
HOSP1-000675,Suzanne,Li,O,374-34-5153,548565220699455,Male,2011-03-30,"PSC 2240, Box 1633, APO AP 09800",2023-08-18,hospital_a,A-HOSP1-000675,,,False,Invalid Email,14,2023,8,3,Friday
HOSP1-000676,Megan,Madden,Z,445-43-8281,66051270257222,Female,1944-07-31,"90993 Jessica Streets Apt. 009, West Larry, VA 01257",2024-07-28,hospital_a,A-HOSP1-000676,,,False,Invalid Email,81,2024,7,3,Sunday
HOSP1-000677,Thomas,Holmes,I,588-27-7048,7423377188098,Male,1985-11-01,"2815 Oneal Radial Suite 729, Meganview, MS 89641",2020-05-03,hospital_a,A-HOSP1-000677,,,False,Invalid Email,39,2020,5,2,Sunday
HOSP1-000678,Gina,Browning,F,333-50-3733,89436510276608,Female,1945-07-10,"6830 Matthew Neck Suite 428, Michelestad, HI 09049",2023-08-31,hospital_a,A-HOSP1-000678,,,False,Invalid Email,80,2023,8,3,Thursday
HOSP1-000679,Shane,Salazar,A,492-38-4706,9946523139,Male,2002-12-23,"6828 Durham Forge Apt. 315, Mckenziefort, CT 97334",2022-06-30,hospital_a,A-HOSP1-000679,,,False,Invalid Email,22,2022,6,2,Thursday
HOSP1-000680,Lisa,Moreno,G,809-83-3656,3382606024259,Female,2012-06-04,"773 Robert Valleys Suite 456, Davidmouth, NM 98124",2023-02-04,hospital_a,A-HOSP1-000680,,,False,Invalid Email,13,2023,2,1,Saturday
HOSP1-000681,Shawn,Rojas,I,252-98-7118,0013295551007,Female,1933-06-06,"440 Donald Crossing, South Heidi, WY 17898",2020-05-25,hospital_a,A-HOSP1-000681,,,False,Invalid Email,92,2020,5,2,Monday
HOSP1-000682,Richard,Walters,P,749-06-4112,9307962326,Female,1960-02-08,"5981 Green Heights, South Kimberly, NH 17312",2023-05-10,hospital_a,A-HOSP1-000682,,,False,Invalid Email,65,2023,5,2,Wednesday
HOSP1-000683,Nicole,Cruz,G,144-51-0157,875718629654243,Female,1926-04-07,"43323 Jessica Rapid Apt. 931, West Ronaldshire, CO 80538",2020-12-25,hospital_a,A-HOSP1-000683,,,False,Invalid Email,99,2020,12,4,Friday
HOSP1-000684,Donna,Mcdaniel,L,721-65-6769,5666754596,Male,1946-11-27,"0683 Allen Glens Apt. 537, Lake Jenniferberg, VA 21500",2020-07-23,hospital_a,A-HOSP1-000684,,,False,Invalid Email,78,2020,7,3,Thursday
HOSP1-000685,Erin,Russell,N,183-96-5938,5234451274890,Female,1968-07-24,"09931 Morales Meadows Suite 693, South Dawnberg, IN 71530",2022-07-23,hospital_a,A-HOSP1-000685,,,False,Invalid Email,57,2022,7,3,Saturday
HOSP1-000686,Roberta,Zuniga,U,319-92-9560,47251320907338,Female,1925-08-09,"395 Stephanie Curve, Rodriguezborough, KY 51491",2020-06-20,hospital_a,A-HOSP1-000686,,,False,Invalid Email,100,2020,6,2,Saturday
HOSP1-000687,Robert,Johnson,N,493-89-9969,6213277197236,Male,1945-08-31,"7655 Wayne Knoll Apt. 353, Ryanside, AZ 00903",2023-03-25,hospital_a,A-HOSP1-000687,,,False,Invalid Email,79,2023,3,1,Saturday
HOSP1-000688,Sylvia,Craig,D,795-21-3274,9876139023,Male,2014-10-02,"97303 Thompson Loop Suite 882, South Veronica, NE 94409",2023-06-06,hospital_a,A-HOSP1-000688,,,False,Invalid Email,10,2023,6,2,Tuesday
HOSP1-000689,Courtney,Davis,S,298-51-5603,19627300396,Female,2024-10-01,"58565 Samuel Forge Suite 312, Port Johnburgh, PW 37383",2021-10-12,hospital_a,A-HOSP1-000689,,,False,Invalid Email,0,2021,10,4,Tuesday
HOSP1-000690,Sarah,Perez,L,745-37-8404,15787567142,Male,1958-07-27,"97598 Harris Mission, Paulfort, CO 79813",2024-03-19,hospital_a,A-HOSP1-000690,,,False,Invalid Email,67,2024,3,1,Tuesday
HOSP1-000691,Megan,Rivas,M,487-41-3822,54743303540045,Female,1972-01-30,"5048 Johnson Lodge Apt. 438, Madisonmouth, TN 73240",2020-01-29,hospital_a,A-HOSP1-000691,,,False,Invalid Email,53,2020,1,1,Wednesday
HOSP1-000692,Danielle,Andrews,M,171-60-3535,4377001122,Male,1991-05-01,"90911 Deanna Center Apt. 148, East Stephanie, VA 05439",2022-03-23,hospital_a,A-HOSP1-000692,,,False,Invalid Email,34,2022,3,1,Wednesday
HOSP1-000693,Brenda,Bell,S,089-43-8924,18413758665592,Female,1937-04-01,"Unit 5457 Box 7714, DPO AP 90827",2022-12-06,hospital_a,A-HOSP1-000693,,,False,Invalid Email,88,2022,12,4,Tuesday
HOSP1-000694,Valerie,Yu,A,532-97-9427,8526012470874,Male,1975-10-10,"6634 Jeremiah Loaf, Port Jamesshire, NJ 46783",2023-04-15,hospital_a,A-HOSP1-000694,,,False,Invalid Email,49,2023,4,2,Saturday
